"   Data","   Vazao (L/s)","   Succao (mca)","   Recalque (mca)","   Ligacoes "
"2015-06-26 03:00:00","2.7569444179534912","50.0","96.050003051757813","0.0"
"2015-06-26 04:00:00","3.3402776718139648","49.674999237060547","95.574996948242188","0.0"
"2015-06-26 05:00:00","3.125","50.0","95.599998474121094","0.0"
"2015-06-26 06:00:00","2.9722223281860352","49.950000762939453","95.849998474121094","0.0"
"2015-06-26 07:00:00","2.8402776718139648","50.299999237060547","96.275001525878906","0.0"
"2015-06-26 08:00:00","3.2708332538604736","57.049999237060547","102.69999694824219","0.0"
"2015-06-26 09:00:00","3.3194444179534912","60.125","105.40000152587891","0.0"
"2015-06-26 10:00:00","3.4861111640930176","59.674999237060547","104.94999694824219","0.0"
"2015-06-26 11:00:00","4.2361111640930176","58.75","103.84999847412109","0.0"
"2015-06-26 12:00:00","5.2916665077209473","56.825000762939453","100.65000152587891","0.0"
"2015-06-26 13:00:00","6.2916665077209473","54.025001525878906","97.775001525878906","0.0"
"2015-06-26 14:00:00","6.9305553436279297","52.549999237060547","94.974998474121094","0.0"
"2015-06-26 15:00:00","6.8402776718139648","52.599998474121094","95.25","0.0"
"2015-06-26 16:00:00","6.6944446563720703","52.775001525878906","95.974998474121094","0.0"
"2015-06-26 17:00:00","6.4513888359069824","47.575000762939453","90.675003051757813","0.0"
"2015-06-26 18:00:00","6.5833334922790527","44.775001525878906","87.800003051757813","0.0"
"2015-06-26 19:00:00","5.7777776718139648","45.575000762939453","89.375","0.0"
"2015-06-26 20:00:00","5.2430553436279297","46.625","91.099998474121094","0.0"
"2015-06-26 21:00:00","4.1875","50.724998474121094","95.974998474121094","0.0"
"2015-06-26 22:00:00","3.5","49.200000762939453","94.900001525878906","0.0"
"2015-06-26 23:00:00","3.5763888359069824","49.125","94.574996948242188","0.0"
"2015-06-27 00:00:00","3.3263888359069824","49.599998474121094","94.75","0.0"
"2015-06-27 01:00:00","2.9652776718139648","49.900001525878906","95.375","0.0"
"2015-06-27 02:00:00","2.8611111640930176","49.825000762939453","95.724998474121094","0.0"
"2015-06-27 03:00:00","2.9652776718139648","49.924999237060547","95.824996948242188","0.0"
"2015-06-27 04:00:00","2.5694444179534912","50.375","96.574996948242188","0.0"
"2015-06-27 05:00:00","2.3819444179534912","50.650001525878906","97.025001525878906","0.0"
"2015-06-27 06:00:00","2.1527776718139648","50.900001525878906","96.800003051757813","0.0"
"2015-06-27 07:00:00","2.0694444179534912","50.849998474121094","97.425003051757812","0.0"
"2015-06-27 08:00:00","2.5","57.474998474121094","103.5","0.0"
"2015-06-27 09:00:00","2.5347223281860352","60.700000762939453","106.55000305175781","0.0"
"2015-06-27 10:00:00","2.5486111640930176","60.875","106.82499694824219","0.0"
"2015-06-27 11:00:00","2.6458332538604736","60.575000762939453","106.34999847412109","0.0"
"2015-06-27 12:00:00","2.9652776718139648","60.0","105.52500152587891","0.0"
"2015-06-27 13:00:00","3.6527776718139648","58.849998474121094","104.09999847412109","0.0"
"2015-06-27 14:00:00","3.7777776718139648","58.325000762939453","103.17500305175781","0.0"
"2015-06-27 15:00:00","4.0972223281860352","57.25","102.34999847412109","0.0"
"2015-06-27 16:00:00","4.4513888359069824","56.700000762939453","101.84999847412109","0.0"
"2015-06-27 17:00:00","3.7222223281860352","51.875","97.425003051757812","0.0"
"2015-06-27 18:00:00","3.5069444179534912","49.575000762939453","94.775001525878906","0.0"
"2015-06-27 19:00:00","3.375","49.400001525878906","95.224998474121094","0.0"
"2015-06-27 20:00:00","3.7152776718139648","48.75","94.724998474121094","0.0"
"2015-06-27 21:00:00","3.4791667461395264","49.349998474121094","94.875","0.0"
"2015-06-27 22:00:00","3.7708332538604736","48.950000762939453","94.074996948242188","0.0"
"2015-06-27 23:00:00","3.6805555820465088","48.974998474121094","94.5","0.0"
"2015-06-28 00:00:00","3.2430555820465088","49.900001525878906","95.300003051757813","0.0"
"2015-06-28 01:00:00","2.9375","49.799999237060547","95.724998474121094","0.0"
"2015-06-28 02:00:00","2.9305555820465088","50.049999237060547","95.875","0.0"
"2015-06-28 03:00:00","2.8402776718139648","50.349998474121094","96.400001525878906","0.0"
"2015-06-28 04:00:00","2.8125","50.0","95.800003051757813","0.0"
"2015-06-28 05:00:00","2.4930555820465088","50.325000762939453","96.800003051757813","0.0"
"2015-06-28 06:00:00","2.3194444179534912","50.75","96.599998474121094","0.0"
"2015-06-28 07:00:00","2.2291667461395264","50.799999237060547","96.574996948242188","0.0"
"2015-06-28 08:00:00","2.5555555820465088","57.224998474121094","103.15000152587891","0.0"
"2015-06-28 09:00:00","2.5486111640930176","60.099998474121094","106.07499694824219","0.0"
"2015-06-28 10:00:00","2.4652776718139648","60.625","106.75","0.0"
"2015-06-28 11:00:00","2.5416667461395264","60.875","106.90000152587891","0.0"
"2015-06-28 12:00:00","2.7013888359069824","60.775001525878906","106.80000305175781","0.0"
"2015-06-28 13:00:00","3.1944444179534912","59.299999237060547","105.05000305175781","0.0"
"2015-06-28 14:00:00","3.3402776718139648","58.525001525878906","104.15000152587891","0.0"
"2015-06-28 15:00:00","3.6041667461395264","57.950000762939453","103.375","0.0"
"2015-06-28 16:00:00","4.0763888359069824","57.549999237060547","102.57499694824219","0.0"
"2015-06-28 17:00:00","3.8263888359069824","51.575000762939453","96.699996948242188","0.0"
"2015-06-28 18:00:00","3.2361111640930176","49.849998474121094","95.400001525878906","0.0"
"2015-06-28 19:00:00","3.2847223281860352","49.650001525878906","95.025001525878906","0.0"
"2015-06-28 20:00:00","3.5138888359069824","49.450000762939453","94.974998474121094","0.0"
"2015-06-28 21:00:00","3.5555555820465088","49.474998474121094","94.949996948242188","0.0"
"2015-06-28 22:00:00","3.3541667461395264","49.5","94.875","0.0"
"2015-06-28 23:00:00","3.1875","49.825000762939453","95.375","0.0"
"2015-06-29 00:00:00","3.0069444179534912","50.049999237060547","95.849998474121094","0.0"
"2015-06-29 01:00:00","2.9791667461395264","49.924999237060547","95.599998474121094","0.0"
"2015-06-29 02:00:00","3.1666667461395264","49.849998474121094","95.699996948242188","0.0"
"2015-06-29 03:00:00","3.1875","49.924999237060547","95.599998474121094","0.0"
"2015-06-29 04:00:00","2.6527776718139648","50.174999237060547","96.800003051757813","0.0"
"2015-06-29 05:00:00","2.3263888359069824","50.674999237060547","97.150001525878906","0.0"
"2015-06-29 06:00:00","2.1527776718139648","50.650001525878906","97.5","0.0"
"2015-06-29 07:00:00","2.0833332538604736","51.174999237060547","97.324996948242188","0.0"
"2015-06-29 08:00:00","2.5","57.825000762939453","103.90000152587891","0.0"
"2015-06-29 09:00:00","2.5208332538604736","60.224998474121094","106.125","0.0"
"2015-06-29 10:00:00","2.5555555820465088","60.200000762939453","105.82499694824219","0.0"
"2015-06-29 11:00:00","3.2708332538604736","59.599998474121094","105.17500305175781","0.0"
"2015-06-29 12:00:00","4.3125","57.400001525878906","102.34999847412109","0.0"
"2015-06-29 13:00:00","4.9791665077209473","55.724998474121094","100.07499694824219","0.0"
"2015-06-29 14:00:00","5.7013888359069824","54.5","98.525001525878906","0.0"
"2015-06-29 15:00:00","6.6319446563720703","52.700000762939453","95.474998474121094","0.0"
"2015-06-29 16:00:00","6.3680553436279297","53.75","97.074996948242187","0.0"
"2015-06-29 17:00:00","5.7361111640930176","48.849998474121094","92.574996948242188","0.0"
"2015-06-29 18:00:00","5.5277776718139648","46.325000762939453","90.775001525878906","0.0"
"2015-06-29 19:00:00","5.2361111640930176","46.75","91.050003051757813","0.0"
"2015-06-29 20:00:00","4.7777776718139648","47.224998474121094","91.675003051757812","0.0"
"2015-06-29 21:00:00","4.0416665077209473","48.549999237060547","93.625","0.0"
"2015-06-29 22:00:00","3.8333332538604736","48.924999237060547","94.199996948242188","0.0"
"2015-06-29 23:00:00","3.4930555820465088","49.174999237060547","94.625","0.0"
"2015-06-30 00:00:00","3.2708332538604736","49.5","95.074996948242188","0.0"
"2015-06-30 01:00:00","3.25","49.525001525878906","95.375","0.0"
"2015-06-30 02:00:00","3.0763888359069824","50.099998474121094","95.800003051757813","0.0"
"2015-06-30 03:00:00","3.2847223281860352","48.950000762939453","94.675003051757813","0.0"
"2015-06-30 04:00:00","2.6736111640930176","50.400001525878906","96.074996948242188","0.0"
"2015-06-30 05:00:00","2.375","50.549999237060547","96.550003051757812","0.0"
"2015-06-30 06:00:00","2.2430555820465088","50.875","96.849998474121094","0.0"
"2015-06-30 07:00:00","2.1527776718139648","50.974998474121094","96.849998474121094","0.0"
"2015-06-30 08:00:00","2.5069444179534912","57.549999237060547","103.09999847412109","0.0"
"2015-06-30 09:00:00","2.5763888359069824","60.0","105.92500305175781","0.0"
"2015-06-30 10:00:00","2.75","60.025001525878906","106.15000152587891","0.0"
"2015-06-30 11:00:00","3.1111111640930176","59.950000762939453","105.15000152587891","0.0"
"2015-06-30 12:00:00","4.0277776718139648","58.549999237060547","103.69999694824219","0.0"
"2015-06-30 13:00:00","5.4444446563720703","56.200000762939453","100.375","0.0"
"2015-06-30 14:00:00","5.6527776718139648","55.849998474121094","99.974998474121094","0.0"
"2015-06-30 15:00:00","6.0763888359069824","54.075000762939453","97.699996948242188","0.0"
"2015-06-30 16:00:00","5.7708334922790527","54.900001525878906","98.599998474121094","0.0"
"2015-06-30 17:00:00","4.6805553436279297","49.375","93.949996948242187","0.0"
"2015-06-30 18:00:00","4.9652776718139648","46.299999237060547","90.824996948242187","0.0"
"2015-06-30 19:00:00","5.1180553436279297","46.025001525878906","90.074996948242188","0.0"
"2015-06-30 20:00:00","4.7847223281860352","46.650001525878906","91.349998474121094","0.0"
"2015-06-30 21:00:00","4.1041665077209473","47.674999237060547","92.849998474121094","0.0"
"2015-06-30 22:00:00","3.5833332538604736","48.200000762939453","93.599998474121094","0.0"
"2015-06-30 23:00:00","3.2638888359069824","48.650001525878906","94.525001525878906","0.0"
"2015-07-01 00:00:00","3.3611111640930176","48.400001525878906","94.349998474121094","0.0"
"2015-07-01 01:00:00","3.3402776718139648","48.625","94.199996948242188","0.0"
"2015-07-01 02:00:00","3.3958332538604736","48.724998474121094","94.474998474121094","0.0"
"2015-07-01 03:00:00","2.9791667461395264","49.875","95.724998474121094","0.0"
"2015-07-01 04:00:00","3.0069444179534912","49.474998474121094","95.449996948242188","0.0"
"2015-07-01 05:00:00","2.6458332538604736","49.599998474121094","95.675003051757812","0.0"
"2015-07-01 06:00:00","2.4652776718139648","49.799999237060547","96.125","0.0"
"2015-07-01 07:00:00","2.3541667461395264","50.025001525878906","95.949996948242188","0.0"
"2015-07-01 08:00:00","2.8472223281860352","57.549999237060547","103.25","0.0"
"2015-07-01 09:00:00","2.9027776718139648","60.650001525878906","106.19999694824219","0.0"
"2015-07-01 10:00:00","2.8819444179534912","60.650001525878906","106.57499694824219","0.0"
"2015-07-01 11:00:00","3.7083332538604736","59.424999237060547","104.59999847412109","0.0"
"2015-07-01 12:00:00","4.2916665077209473","57.950000762939453","102.77500152587891","0.0"
"2015-07-01 13:00:00","5.5972223281860352","55.25","98.900001525878906","0.0"
"2015-07-01 14:00:00","6.2847223281860352","53.950000762939453","97.074996948242187","0.0"
"2015-07-01 15:00:00","6.0416665077209473","54.375","98.0","0.0"
"2015-07-01 16:00:00","5.9097223281860352","54.900001525878906","98.550003051757813","0.0"
"2015-07-01 17:00:00","5.2291665077209473","49.775001525878906","93.824996948242188","0.0"
"2015-07-01 18:00:00","5.2847223281860352","47.0","91.150001525878906","0.0"
"2015-07-01 19:00:00","5.4236111640930176","46.575000762939453","90.775001525878906","0.0"
"2015-07-01 20:00:00","4.7986111640930176","47.549999237060547","91.925003051757813","0.0"
"2015-07-01 21:00:00","4.1527776718139648","48.424999237060547","93.625","0.0"
"2015-07-01 22:00:00","3.5416667461395264","49.275001525878906","94.675003051757813","0.0"
"2015-07-01 23:00:00","3.2361111640930176","49.5","94.974998474121094","0.0"
"2015-07-02 00:00:00","3.3125","49.25","95.050003051757813","0.0"
"2015-07-02 01:00:00","3.6458332538604736","49.200000762939453","94.175003051757813","0.0"
"2015-07-02 02:00:00","3.4305555820465088","49.224998474121094","94.849998474121094","0.0"
"2015-07-02 03:00:00","3.1041667461395264","49.775001525878906","95.375","0.0"
"2015-07-02 04:00:00","2.7291667461395264","50.299999237060547","96.449996948242188","0.0"
"2015-07-02 05:00:00","2.5347223281860352","50.525001525878906","96.400001525878906","0.0"
"2015-07-02 06:00:00","2.3333332538604736","50.625","96.650001525878906","0.0"
"2015-07-02 07:00:00","2.1597223281860352","50.775001525878906","97.050003051757812","0.0"
"2015-07-02 08:00:00","2.6041667461395264","57.424999237060547","103.125","0.0"
"2015-07-02 09:00:00","2.6180555820465088","60.5","106.44999694824219","0.0"
"2015-07-02 10:00:00","2.7569444179534912","60.575000762939453","106.44999694824219","0.0"
"2015-07-02 11:00:00","3.0","60.150001525878906","105.82499694824219","0.0"
"2015-07-02 12:00:00","4.125","58.299999237060547","103.30000305175781","0.0"
"2015-07-02 13:00:00","5.1041665077209473","56.400001525878906","100.57499694824219","0.0"
"2015-07-02 14:00:00","6.2291665077209473","53.599998474121094","97.074996948242187","0.0"
"2015-07-02 15:00:00","6.25","53.900001525878906","97.224998474121094","0.0"
"2015-07-02 16:00:00","6.6944446563720703","53.299999237060547","95.5","0.0"
"2015-07-02 17:00:00","6.1527776718139648","50.150001525878906","93.650001525878906","0.0"
"2015-07-02 18:00:00","6.0138888359069824","45.950000762939453","89.550003051757813","0.0"
"2015-07-02 19:00:00","5.9583334922790527","45.700000762939453","89.324996948242188","0.0"
"2015-07-02 20:00:00","5.4861111640930176","46.349998474121094","90.625","0.0"
"2015-07-02 21:00:00","4.6180553436279297","47.599998474121094","92.300003051757813","0.0"
"2015-07-02 22:00:00","3.8958332538604736","48.700000762939453","93.949996948242187","0.0"
"2015-07-02 23:00:00","3.5833332538604736","49.174999237060547","94.824996948242188","0.0"
"2015-07-03 00:00:00","3.3611111640930176","49.599998474121094","95.0","0.0"
"2015-07-03 01:00:00","3.1319444179534912","49.674999237060547","95.175003051757812","0.0"
"2015-07-03 02:00:00","3.4305555820465088","49.325000762939453","95.224998474121094","0.0"
"2015-07-03 03:00:00","2.8819444179534912","50.25","95.875","0.0"
"2015-07-03 04:00:00","2.8472223281860352","50.200000762939453","96.074996948242188","0.0"
"2015-07-03 05:00:00","2.625","50.125","96.275001525878906","0.0"
"2015-07-03 06:00:00","2.3541667461395264","50.799999237060547","96.449996948242188","0.0"
"2015-07-03 07:00:00","2.2361111640930176","50.849998474121094","96.724998474121094","0.0"
"2015-07-03 08:00:00","2.7083332538604736","57.400001525878906","103.25","0.0"
"2015-07-03 09:00:00","2.7638888359069824","60.200000762939453","105.82499694824219","0.0"
"2015-07-03 10:00:00","2.7638888359069824","60.174999237060547","106.07499694824219","0.0"
"2015-07-03 11:00:00","3.2430555820465088","59.275001525878906","104.80000305175781","0.0"
"2015-07-03 12:00:00","3.8680555820465088","58.299999237060547","103.5","0.0"
"2015-07-03 13:00:00","5.5694446563720703","55.0","99.300003051757813","0.0"
"2015-07-03 14:00:00","5.9375","54.525001525878906","98.175003051757813","0.0"
"2015-07-03 15:00:00","5.8819446563720703","54.900001525878906","98.724998474121094","0.0"
"2015-07-03 16:00:00","5.4930553436279297","55.549999237060547","99.5","0.0"
